644,232,74
903,785,236
746,932,582
944,625,256
7,184,77
3,333,257
770,636,630
92,755,664
329,507,756
826,921,43
516,61,48
671,889,15
493,102,827
621,527,900
402,234,404
887,661,104
381,629,91
766,425,539
988,332,346
129,39,846
9,525,977
650,524,112
136,867,341
79,42,516
825,239,218
645,432,812
825,141,614
57,412,299
149,139,764
423,886,650
409,332,318
481,298,628
945,583,558
311,132,74
572,681,938
971,991,449
832,664,7
197,945,603
408,245,343
542,282,633
667,321,79
694,670,542
517,323,573
594,83,744
288,962,479
374,376,830
630,107,723
10,509,562
172,430,655
773,9,368
79,653,678
814,955,181
765,993,909
264,702,610
472,372,185
647,857,733
512,839,642
296,922,574
292,362,423
885,483,239
889,750,365
680,127,493
144,614,830
788,681,604
499,84,327
973,427,311
771,355,893
3,148,753
645,590,604
51,841,126
323,292,501
80,809,331
837,334,646
21,1000,439
991,32,893
532,387,661
900,359,1
7,759,405
408,573,674
411,874,340
490,152,851
239,361,268
118,296,569
437,885,548
604,770,566
520,86,244
573,514,323
218,996,542
445,852,481
698,658,968
516,445,747
1,424,768
989,458,783
558,793,22
673,723,156
795,374,508
257,375,917
641,102,702
561,523,683
685,14,106
